DataID,DataName,ReferenceID,OrigValueStr,growth_form,n
47,Plant growth form,196,Perennial or subshrub,perennial,1
47,Plant growth form,18,prairie grass,graminoid,1
47,Plant growth form,85,rept,n/a,1
47,Plant growth form,85,ros,n/a,1
47,Plant growth form,61,shrub,shrub,1
47,Plant growth form,196,shrub,shrub,1
47,Plant growth form,97,Shrub (Chamaephyte),shrub,1
47,Plant growth form,205,shrub/vine,shrub,1
47,Plant growth form,49,"Subshrub, Shrub, Tree",shrub,1
47,Plant growth form,18,Subshrub/Shrub,shrub,1
47,Plant growth form,62,T (treefern),tree,1
47,Plant growth form,62,T/S,tree,1
47,Plant growth form,43,Tree,tree,1
47,Plant growth form,49,"Tree, Shrub, Subshrub",tree,1
47,Plant growth form,30,unspecified,n/a,1
47,Plant growth form,24,variable grass,graminoid,1
47,Plant growth form,43,various,n/a,1
47,Plant growth form,49,"Vine, Shrub, Graminoid",liana_climber,1
47,Plant growth form,18,"weed, sedge",graminoid,1
47,Plant growth form,91,Woody,woody,1
571,Climbing mode,29,always Climbing using adhesive roots,liana_climber,1
870,Plant growth form: Succulence,18,102.097299956947,n/a,1
870,Plant growth form: Succulence,18,102.482054830061,n/a,1
870,Plant growth form: Succulence,18,103.377352646549,n/a,1
870,Plant growth form: Succulence,18,105.053611852526,n/a,1
870,Plant growth form: Succulence,18,107.476008994454,n/a,1
870,Plant growth form: Succulence,18,107.794208269408,n/a,1
870,Plant growth form: Succulence,18,108.3863017265,n/a,1
870,Plant growth form: Succulence,18,108.517808189492,n/a,1
870,Plant growth form: Succulence,18,114.451519585526,n/a,1
870,Plant growth form: Succulence,18,115.148738306355,n/a,1
870,Plant growth form: Succulence,18,116.84552934506,n/a,1
870,Plant growth form: Succulence,18,117.594968558779,n/a,1
870,Plant growth form: Succulence,18,118.053674800762,n/a,1
870,Plant growth form: Succulence,18,119.160905482619,n/a,1
870,Plant growth form: Succulence,18,121.985029110064,n/a,1
870,Plant growth form: Succulence,18,127.258465144736,n/a,1
870,Plant growth form: Succulence,18,127.497483151493,n/a,1
870,Plant growth form: Succulence,18,128.059410787179,n/a,1
870,Plant growth form: Succulence,18,137.661927830446,n/a,1
870,Plant growth form: Succulence,18,139.065260846351,n/a,1
870,Plant growth form: Succulence,18,140.409034950058,n/a,1
870,Plant growth form: Succulence,18,140.531555094063,n/a,1
870,Plant growth form: Succulence,18,140.78402198547,n/a,1
870,Plant growth form: Succulence,18,142.358824397062,n/a,1
870,Plant growth form: Succulence,18,144.524046069775,n/a,1
870,Plant growth form: Succulence,18,147.300791349996,n/a,1
870,Plant growth form: Succulence,18,149.896728064873,n/a,1
870,Plant growth form: Succulence,18,151.520417028671,n/a,1
870,Plant growth form: Succulence,18,157.444167361923,n/a,1
870,Plant growth form: Succulence,18,157.641771336547,n/a,1
870,Plant growth form: Succulence,18,159.222648588991,n/a,1
870,Plant growth form: Succulence,18,169.172178793345,n/a,1
870,Plant growth form: Succulence,18,170.410534469404,n/a,1
870,Plant growth form: Succulence,18,171.271782784269,n/a,1
870,Plant growth form: Succulence,18,172.595430518732,n/a,1
870,Plant growth form: Succulence,18,173.489211774765,n/a,1
870,Plant growth form: Succulence,18,175.38644470868,n/a,1
870,Plant growth form: Succulence,18,177.035522814055,n/a,1
870,Plant growth form: Succulence,18,178.037848605578,n/a,1
870,Plant growth form: Succulence,18,178.796728626732,n/a,1
870,Plant growth form: Succulence,18,186.536203927944,n/a,1
870,Plant growth form: Succulence,18,191.68581879404,n/a,1
870,Plant growth form: Succulence,18,192.066153086918,n/a,1
870,Plant growth form: Succulence,18,192.409262454956,n/a,1
870,Plant growth form: Succulence,18,197.267863966374,n/a,1
870,Plant growth form: Succulence,18,207.703788226609,n/a,1
870,Plant growth form: Succulence,18,211.682973692402,n/a,1
870,Plant growth form: Succulence,18,215.708812260536,n/a,1
870,Plant growth form: Succulence,18,240.299532768747,n/a,1
870,Plant growth form: Succulence,18,252.912357103974,n/a,1
870,Plant growth form: Succulence,18,256.655438443986,n/a,1
870,Plant growth form: Succulence,18,270.853706825612,n/a,1
870,Plant growth form: Succulence,18,275.426115047736,n/a,1
870,Plant growth form: Succulence,18,286.452399431598,n/a,1
870,Plant growth form: Succulence,18,299.973372264758,n/a,1
870,Plant growth form: Succulence,18,318.188369727845,n/a,1
870,Plant growth form: Succulence,18,337.709700948213,n/a,1
870,Plant growth form: Succulence,18,340.251276049678,n/a,1
870,Plant growth form: Succulence,18,68.269818626452,n/a,1
870,Plant growth form: Succulence,18,80.3904679873672,n/a,1
870,Plant growth form: Succulence,18,82.3635922008523,n/a,1
870,Plant growth form: Succulence,18,86.9821612855669,n/a,1
870,Plant growth form: Succulence,18,87.5999999610455,n/a,1
870,Plant growth form: Succulence,18,87.9902214062848,n/a,1
870,Plant growth form: Succulence,18,93.4291128641312,n/a,1
870,Plant growth form: Succulence,18,98.7465870084245,n/a,1
870,Plant growth form: Succulence,18,99.3847724771451,n/a,1
959,Multi-stemness,18,branchy,n/a,1
959,Multi-stemness,18,Multi-stem,n/a,1
959,Multi-stemness,18,Multiple stem,n/a,1
959,Multi-stemness,18,multiple stems,n/a,1
959,Multi-stemness,18,single stem or multi stemed,n/a,1
2391,Life form: small tree,148,yes,tree,1
2404,Plant form: vase,148,yes,n/a,1
2481,Leaf succulence,148,,n/a,1
47,Plant growth form,134,`,n/a,1
